name	id	level	prev	n	estimate	lower	upper	se	p.value	q.value	message	influential_n	influential_dfbeta	influential_estimate	influential_lower	influential_upper	influential_se	influential_p.value	influential_q.value	influential_message	interaction_estimate	interaction_p.value	interaction_q.value	interaction_message
Oscillibacter sp.	HG3A.0372	genus	0.427075634392708	8118	0.0623547240882954	0.0212672175651504	0.103442230611441	0.0209602195274116	0.0029395408185717	0.00856048239671217		8118		0.0623547240882954	0.0212672175651504	0.103442230611441	0.0209602195274116	0.0029395408185717	0.00856048239671217		0.00489938956751876	0.909244167962944	0.970663102863613	
Eubacteriales sp.	HG3A.0759	order	0.0538309928553831	8118	0.0625681993147796	0.0212359825934783	0.103900416036081	0.0210850550287108	0.00301202158402836	0.00856048239671217		8118		0.0625681993147796	0.0212359825934783	0.103900416036081	0.0210850550287108	0.00301202158402836	0.00856048239671217		0.0427991705744077	0.387926696399618	0.73501900370454	
Bifidobacterium dentium	HG3A.0579	species	0.25769894062577	8118	0.0652280904010822	0.0219113673666879	0.108544813435477	0.0220974233006217	0.00316804519439005	0.0087730482306186		8118		0.0652280904010822	0.0219113673666879	0.108544813435477	0.0220974233006217	0.00316804519439005	0.0087730482306186		-0.00820972821193396	0.853448456338638	0.948748987006354	
Leuconostoc lactis	HG3A.1458	species	0.0296871150529687	8118	0.0581722956500271	0.0193330110842814	0.0970115802157727	0.0198133203903979	0.00333402311618821	0.00881484951445978		8118		0.0581722956500271	0.0193330110842814	0.0970115802157727	0.0198133203903979	0.00333402311618821	0.00881484951445978		0.0207962191566918	0.681909078544511	0.900981940344144	
Eubacteriales sp.	HG3A.0084	order	0.728258191672826	8118	-0.0618450951829331	-0.103152722574138	-0.0205374677917285	0.0210725111242378	0.00334637805641529	0.00881484951445978		8118		-0.0618450951829331	-0.103152722574138	-0.0205374677917285	0.0210725111242378	0.00334637805641529	0.00881484951445978		0.0516427810781975	0.221389560601391	0.729862338766413	
Desulfovibrio piger	HG3A.0240	species	0.292559743779256	8118	0.0603327727933103	0.019746471411044	0.100919074175577	0.0207045367014127	0.00357834557963867	0.00920146006192801		8118		0.0603327727933103	0.019746471411044	0.100919074175577	0.0207045367014127	0.00357834557963867	0.00920146006192801		-0.0234212821719041	0.574479679291844	0.877660074046545	
Lachnospiraceae sp.	HG3A.1066	family	0.0384331116038433	8118	0.0583989425091456	0.0189819252687684	0.0978159597495229	0.0201080426725013	0.00369134725324242	0.00927129077558561		8118		0.0583989425091456	0.0189819252687684	0.0978159597495229	0.0201080426725013	0.00369134725324242	0.00927129077558561		-0.0685066846277088	0.209437791436262	0.729862338766413	
Oscillospiraceae sp.	HG3A.1278	family	0.0442227149544223	8118	0.0563518797708166	0.0171167153405678	0.0955870442010654	0.0200152729927491	0.00488293022189941	0.0119853741810258		8117	-1.05936568780397	0.0775533664521705	0.0303621063363237	0.124744626568017	0.0240739640027877	0.00128049918605916	0.00512199674423665		0.0257913129803312	0.531603830263	0.857327107349577	
Lactobacillus gasseri	HG3A.0884	species	0.110618378911062	8118	0.058519252273613	0.0175707827859918	0.0994677217612343	0.0208892917190916	0.00510039834582842	0.0122409560299882		8118		0.058519252273613	0.0175707827859918	0.0994677217612343	0.0208892917190916	0.00510039834582842	0.0119748482902058		-0.0128939641541815	0.819895949517158	0.948748987006354	
Traorella massiliensis	HG3A.0669	species	0.148558758314856	8118	0.0606526378750439	0.0177187164123885	0.103586559337699	0.0219021424072785	0.00563142363388399	0.0132216033143363		8118		0.0606526378750439	0.0177187164123885	0.103586559337699	0.0219021424072785	0.00563142363388399	0.0129402926055207		0.0154264661899503	0.779547126811224	0.948748987006354	
Enterocloster asparagiformis	HG3A.0466	species	0.343311160384331	8118	0.0548354731629549	0.0156337663124991	0.0940371800134108	0.0199982050741368	0.00611987620565092	0.0140626942597936		8117	-2.67489323995372	0.108322842862148	0.0334286566903159	0.18321702903398	0.0382062258454784	0.00459100954613736	0.0112688416132463		0.112739772120619	0.0864058678129034	0.717833363368736	
Lachnospiraceae sp.	HG3A.1323	family	0.0113328406011333	8118	0.0551062515892325	0.0146495363951879	0.095562966783277	0.020638430111291	0.00759868948804223	0.0168249176175781		8118		0.0551062515892325	0.0146495363951879	0.095562966783277	0.020638430111291	0.00759868948804223	0.0168249176175781		0.0420220062554216	0.332783095429551	0.729862338766413	
Butyricicoccus sp. OM04-18BH	HG3A.0139	species	0.608277900960828	8118	-0.0556872625543081	-0.0965940889613652	-0.014780436147251	0.0208680480812006	0.00763352743760486	0.0168249176175781		8118		-0.0556872625543081	-0.0965940889613652	-0.014780436147251	0.0208680480812006	0.00763352743760486	0.0168249176175781		0.0259995945363686	0.534169070565491	0.857327107349577	
Eubacteriales sp.	HG3A.0505	order	0.123675782212368	8118	-0.0542714617832137	-0.0949546688904	-0.0135882546760274	0.020753971808083	0.00893974504913172	0.0193098493061245		8118		-0.0542714617832137	-0.0949546688904	-0.0135882546760274	0.020753971808083	0.00893974504913172	0.0193098493061245		-0.0292939226368101	0.483274753853236	0.842611490991746	
Eubacteriales sp.	HG3A.0439	order	0.631313131313131	8118	0.0542301321535701	0.0129006949595234	0.0955595693476168	0.021083637091572	0.0101250311422833	0.0214412424189529		8118		0.0542301321535701	0.0129006949595234	0.0955595693476168	0.021083637091572	0.0101250311422833	0.021028910833973		-0.0316602236888493	0.506147062753511	0.85412316839655	
Ruminococcus bicirculans	HG3A.0067	species	0.790711998029071	8118	-0.0522750046912134	-0.0930476011256516	-0.0115024082567752	0.0207995725291087	0.0119812102447852	0.0248840520468616		8118		-0.0522750046912134	-0.0930476011256516	-0.0115024082567752	0.0207995725291087	0.0119812102447852	0.0244145416308831		-0.0687977730483918	0.101908131929237	0.729862338766413	
Oscillospiraceae sp.	HG3A.0616	family	0.216063069721606	8118	-0.0527360028786497	-0.0946687715452229	-0.0108032342120764	0.0213914182440941	0.0137112140304797	0.0279398323639964		8118		-0.0527360028786497	-0.0946687715452229	-0.0108032342120764	0.0213914182440941	0.0137112140304797	0.0274224280609595		-0.0018679045524856	0.965278485194126	0.974299779448276	
Eubacteriales sp.	HG3A.0854	order	0.0438531658043853	8118	0.0505994938470558	0.00965407566232042	0.0915449120317911	0.0208877351393976	0.0154383659448045	0.030876731889609		8118		0.0505994938470558	0.00965407566232042	0.0915449120317911	0.0208877351393976	0.0154383659448045	0.0303153367643434		0.0870079181120992	0.0394115602458622	0.712160141575205	
Eubacteriales sp.	HG3A.0092	order	0.778270509977827	8118	-0.0503876632358442	-0.0913195136826391	-0.00945581278904942	0.0208808137467459	0.0158395107518086	0.0311030392944606		8118		-0.0503876632358442	-0.0913195136826391	-0.00945581278904942	0.0208808137467459	0.0158395107518086	0.0305476278784881		-0.0507492516242952	0.243192830411505	0.729862338766413	
Eubacteriales sp.	HG3A.0270	order	0.590539541759054	8118	0.0489749578174794	0.00840287156496936	0.0895470440699894	0.0206972850508377	0.0179930372154505	0.0347008574869402		8118		0.0489749578174794	0.00840287156496936	0.0895470440699894	0.0206972850508377	0.0179930372154505	0.0340920705134851		0.0198784543281146	0.64798323278083	0.900981940344144	
Clostridia sp.	HG3A.0479	class	0.11049519586105	8118	-0.0484901963256937	-0.0889252463367185	-0.00805514631466887	0.0206273779197461	0.0187588698484138	0.0355431218180471		8118		-0.0484901963256937	-0.0889252463367185	-0.00805514631466887	0.0206273779197461	0.0187588698484138	0.0349303093729084		-0.0158431728019802	0.702704512384627	0.900981940344144	
[Clostridium] spiroforme	HG3A.0259	species	0.351318058635132	8118	0.0486496325780038	0.00777676357773836	0.0895225015782692	0.0208507251828024	0.0196605481482519	0.0366092965519174		8118		0.0486496325780038	0.00777676357773836	0.0895225015782692	0.0208507251828024	0.0196605481482519	0.03598880000019		0.0291450098982862	0.493030274870715	0.845194756921225	
Eubacteriales sp.	HG3A.1250	order	0.0370780980537078	8118	0.0461216195731714	0.00702667209309051	0.0852165670532523	0.0199437432673974	0.0207707292993355	0.0380209960055633		8117	-1.37843486245112	0.0736099023875546	0.0224498834483252	0.124769921326784	0.02609857103416	0.0048073607848632	0.0115376658836717		0.122513061124917	0.104029742606369	0.729862338766413	
Clostridium phoceensis	HG3A.0014	species	0.97979797979798	8118	0.0499932499862933	0.00743840319871286	0.0925480967738738	0.0217087627383911	0.0213097005109521	0.0383574609197137		8118		0.0499932499862933	0.00743840319871286	0.0925480967738738	0.0217087627383911	0.0213097005109521	0.0383574609197137		7.62469296616892e-06	0.99986058050279	0.99986058050279	
Eubacteriales sp.	HG3A.0133	order	0.510716925351072	8118	0.0475457204247616	0.00637573391309567	0.0887157069364275	0.0210022955454596	0.0236110264843322	0.0418031288575061		8118		0.0475457204247616	0.00637573391309567	0.0887157069364275	0.0210022955454596	0.0236110264843322	0.0418031288575061		0.0745264707371667	0.0771628581533253	0.712160141575205	
Bifidobacterium pullorum subsp. gallinarum	HG3A.1171	subspecies	0.016260162601626	8118	0.045543383031304	0.00570832701037099	0.085378439052237	0.0203212993374314	0.0250427771639718	0.0432677117814133		8118		0.045543383031304	0.00570832701037099	0.085378439052237	0.0203212993374314	0.0250427771639718	0.0432677117814133		0.0384837481204223	0.387414934545551	0.73501900370454	
Eubacteriales sp.	HG3A.0226	order	0.394432126139443	8118	-0.045714010747845	-0.0857523763221765	-0.00567564517351354	0.0204250148760916	0.0252394985391578	0.0432677117814133		8118		-0.045714010747845	-0.0857523763221765	-0.00567564517351354	0.0204250148760916	0.0252394985391578	0.0432677117814133		0.0521735645457463	0.215735679411572	0.729862338766413	
Oscillospiraceae sp.	HG3A.0072	family	0.810914018231092	8118	-0.0470901976945597	-0.0884867774536621	-0.00569361793545721	0.0211178889365315	0.0257836216904432	0.043509861602623		8118		-0.0470901976945597	-0.0884867774536621	-0.00569361793545721	0.0211178889365315	0.0257836216904432	0.043509861602623		0.0161258966762686	0.704920890125678	0.900981940344144	
Peptoniphilus harei	HG3A.1800	species	0.0699679724069968	8118	0.0444565583722484	0.00463030279048803	0.0842828139540088	0.0203168099158869	0.0286863842655681	0.0475027593049956		8118		0.0444565583722484	0.00463030279048803	0.0842828139540088	0.0203168099158869	0.0286863842655681	0.0469413560709296		0.0264150575950191	0.530580785861866	0.857327107349577	
Prevotella marseillensis	HG3A.0424	species	0.158536585365854	8118	0.0459222700882456	0.00460211038905621	0.0872424297874351	0.0210789043067104	0.029391371350856	0.0475027593049956		8118		0.0459222700882456	0.00460211038905621	0.0872424297874351	0.0210789043067104	0.029391371350856	0.0473771359088425		0.0405987726346669	0.337899230910377	0.729862338766413	
Muribaculaceae sp.	HG3A.1967	family	0.00147819660014782	8118	0.0645144704380676	0.00643743291953843	0.122591507956597	0.029627192275695	0.0294693043836547	0.0475027593049956		8117	1.1351767546615	0.0308815347900481	-0.0719617878243883	0.133724857404484	0.0524640884873434	0.556131300705526	0.566624344115064		-0.10425987203933	0.143144015775608	0.729862338766413	
Pseudoflavonifractor sp. An184	HG3A.0253	species	0.604828775560483	8118	0.0451973961987532	0.00413134641805808	0.0862634459794484	0.020949273668922	0.0309989350038752	0.0492336026532135		8118		0.0451973961987532	0.00413134641805808	0.0862634459794484	0.020949273668922	0.0309989350038752	0.0492336026532135		0.0451575194916096	0.300966317867571	0.729862338766413	
Eubacteriales sp.	HG3A.0242	order	0.489652623798965	8118	-0.0467765442960865	-0.089595246096506	-0.00395784249566686	0.0218433647004109	0.0322676950540977	0.050505957475979		8118		-0.0467765442960865	-0.089595246096506	-0.00395784249566686	0.0218433647004109	0.0322676950540977	0.050505957475979		-0.0536379728480481	0.242021853529629	0.729862338766413	
Oscillospiraceae sp.	HG3A.1161	family	0.0505050505050505	8118	0.050803917901293	0.00334213518241821	0.0982657006201677	0.0242119678007118	0.0359102033883195	0.0554043137991215		8118		0.050803917901293	0.00334213518241821	0.0982657006201677	0.0242119678007118	0.0359102033883195	0.0554043137991215		0.0701933451418677	0.149514971845907	0.729862338766413	
Eubacteriales sp.	HG3A.0087	order	0.776176398127618	8118	-0.0443591100659698	-0.0860280882248243	-0.00269013190711529	0.0212568491884636	0.0369365237921661	0.0560415453319111		8118		-0.0443591100659698	-0.0860280882248243	-0.00269013190711529	0.0212568491884636	0.0369365237921661	0.0560415453319111		-0.00759440957203892	0.866625426443349	0.948748987006354	
Anaerotruncus colihominis	HG3A.0307	species	0.678615422517862	8118	0.0436207043033257	0.00255344513263426	0.0846879634740171	0.0209498906223943	0.0373610302212741	0.0560415453319111		8118		0.0436207043033257	0.00255344513263426	0.0846879634740171	0.0209498906223943	0.0373610302212741	0.0560415453319111		0.0423149040997939	0.359836478389514	0.73501900370454	
Streptococcus salivarius	HG3A.0071	species	0.951958610495196	8118	0.0453774600456052	0.00147016992001633	0.0892847501711941	0.0223986928816835	0.042808473283678	0.0631274443423479		8118		0.0453774600456052	0.00147016992001633	0.0892847501711941	0.0223986928816835	0.042808473283678	0.0631274443423479		-0.0491598550527044	0.27468166720217	0.729862338766413	
Eubacteriales sp.	HG3A.0085	order	0.748829761024883	8118	-0.0425946369125491	-0.0838974718179016	-0.00129180200719659	0.0210700663042903	0.0432539896419791	0.0631274443423479		8118		-0.0425946369125491	-0.0838974718179016	-0.00129180200719659	0.0210700663042903	0.0432539896419791	0.0631274443423479		0.0841531728833424	0.0477425669215015	0.712160141575205	
Streptococcus mutans	HG3A.0677	species	0.291081547179108	8118	0.0415849672044579	0.000468360539380562	0.0827015738695353	0.0209750645597534	0.047447404424684	0.067250324920279		8118		0.0415849672044579	0.000468360539380562	0.0827015738695353	0.0209750645597534	0.047447404424684	0.067250324920279		-0.0696359806128758	0.151862044936313	0.729862338766413	
Eubacteriales sp.	HG3A.0373	order	0.183665927568367	8118	-0.0417955238139822	-0.0831416315618085	-0.000449416066155894	0.0210921413425337	0.0475618077766059	0.067250324920279		8118		-0.0417955238139822	-0.0831416315618085	-0.000449416066155894	0.0210921413425337	0.0475618077766059	0.067250324920279		-0.00231306711438166	0.956411061342871	0.974299779448276	
Eubacteriales sp.	HG3A.0269	order	0.36979551613698	8118	-0.0410978115569196	-0.081824127348159	-0.000371495765680088	0.0207759631031931	0.0479469909153841	0.067250324920279		8118		-0.0410978115569196	-0.081824127348159	-0.000371495765680088	0.0207759631031931	0.0479469909153841	0.067250324920279		0.010634296085596	0.799287803867731	0.948748987006354	
Veillonellaceae sp.	HG3A.1555	family	0.00628233555062823	8118	0.041784436813607	-0.000511038051836277	0.0840799116790502	0.0215764477626897	0.0528324159505479	0.0731525759315278		8117	-1.45556081580381	0.0731864096528997	0.0177983459002812	0.128574473405518	0.0282554492016392	0.00961030101864558	0.0203512256865436		0.020238811934766	0.646854831488782	0.900981940344144	
Flintibacter sp. KGMB00164	HG3A.0374	species	0.338876570583888	8118	0.0398697660013379	-0.00122547457807337	0.0809650065807492	0.0209641649485602	0.0572325472418424	0.0776907574482336		8118		0.0398697660013379	-0.00122547457807337	0.0809650065807492	0.0209641649485602	0.0572325472418424	0.0786618919163365		0.0230255503878261	0.58510671603103	0.877660074046545	
Eubacteriales sp.	HG3A.0685	order	0.0837644740083765	8118	-0.0380245997996475	-0.0773550317763592	0.00130583217706422	0.0200638724054823	0.0581049903774866	0.0776907574482336		8118		-0.0380245997996475	-0.0773550317763592	0.00130583217706422	0.0200638724054823	0.0581049903774866	0.0786618919163365		-0.0386922106858896	0.38706679340893	0.73501900370454	
